time,num
2015-07-04 01,12418
2015-07-04 02,10607
2015-07-04 03,8382
2015-07-04 04,5801
2015-07-04 05,2695
2015-07-04 06,2634
2015-07-04 07,3272
2015-07-04 08,4046
2015-07-04 09,6281
2015-07-04 10,8071
2015-07-04 11,9381
2015-07-04 12,12386
2015-07-04 13,14017
2015-07-04 14,11436
2015-07-04 15,11232
2015-07-04 16,11854
2015-07-04 17,12551
2015-07-04 18,13820
2015-07-04 19,13540
2015-07-04 20,12380
2015-07-04 21,11580
2015-07-04 22,13999
2015-07-04 23,15487
2015-07-05 00,14600
2015-07-05 01,12721
2015-07-05 02,9716
2015-07-05 03,7459
2015-07-05 04,5315
2015-07-05 05,2606
2015-07-05 06,2716
2015-07-05 07,3520
2015-07-05 08,4766
2015-07-05 09,7143
2015-07-05 10,9898
2015-07-05 11,11555
2015-07-05 12,12827
2015-07-05 13,13324
2015-07-05 14,13942
2015-07-05 15,13846
2015-07-05 16,13902
2015-07-05 17,14982
2015-07-05 18,16111
2015-07-05 19,15121
2015-07-05 20,12832
2015-07-05 21,15732
2015-07-05 22,13714
2015-07-05 23,11306
2015-07-06 00,7638
2015-07-06 01,4037
2015-07-06 02,2585
2015-07-06 03,1697
2015-07-06 04,1843
2015-07-06 05,3167
2015-07-06 06,8529
2015-07-06 07,13270
2015-07-06 08,17851
2015-07-06 09,16536
2015-07-06 10,14000
2015-07-06 11,13697
2015-07-06 12,14310
2015-07-06 13,14764
2015-07-06 14,15340
2015-07-06 15,15497
2015-07-06 16,14427
2015-07-06 17,16802
2015-07-06 18,19810
2015-07-06 19,19548
2015-07-06 20,17022
2015-07-06 21,17381
2015-07-06 22,16235
2015-07-06 23,12159
2015-07-07 00,8220
2015-07-07 01,4874
2015-07-07 02,2870
2015-07-07 03,2024
2015-07-07 04,1947
2015-07-07 05,3604
2015-07-07 06,9380
2015-07-07 07,15856
2015-07-07 08,20328
2015-07-07 09,19272
2015-07-07 10,16608
2015-07-07 11,16659
2015-07-07 12,17631
2015-07-07 13,17339
2015-07-07 14,17795
2015-07-07 15,16923
2015-07-07 16,14935
2015-07-07 17,19178
2015-07-07 18,22535
2015-07-07 19,22762
2015-07-07 20,20396
2015-07-07 21,22410
2015-07-07 22,21209
2015-07-07 23,16890
2015-07-08 00,11184
2015-07-08 01,6176
2015-07-08 02,3823
2015-07-08 03,2516
2015-07-08 04,2322
2015-07-08 05,3604
